,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
0,553882.4806,5645517.784,10.311783553622407,20.23876749299017,35.06725381917361,50.615073381171754,64.59345630312978,76.03479990425005,84.68902935211219,90.67142591739373,94.2396180592488,95.70932326577287,95.38854924432674,93.56125560763819,90.47918633931673,86.36495227483734,81.39892073249828,75.73889481329235,69.51204772678535,62.8249799568595,55.76834488205144,48.421338945177375,40.844278822200025,0.0
1,553882.5463,5645517.706,10.518015035802964,20.310161669874812,34.94171403817204,50.28492738468577,64.08087522712442,75.3785821867518,83.93267644921754,89.85592043405461,93.40678277061407,94.89565302526397,94.6236499718291,92.87272657495447,89.88975824006428,85.88677859359176,81.04725717428371,75.52066252942271,69.43854288766263,62.90363064770965,56.00922514222717,48.829396397679965,41.425155147832804,0.101982792
2,553882.67,5645517.551,10.403007141121877,20.172037130244473,34.78615676249356,50.12183573951944,63.91921552558645,75.21553099664794,83.76308546750849,89.67194080028538,93.20240251223404,94.66556181718562,94.36498034557663,92.57938866030966,89.55446668215619,85.51130803493035,80.62907488319412,75.06082554856724,68.93646843306065,62.35731369521656,55.41956753675776,48.19580081024146,40.748423537246936,0.300292374
3,553882.7072,5645517.503,10.832734767521623,20.41733496096706,34.76505661236868,49.8255227145212,63.381195976410645,74.48568599838484,82.89923133957694,88.7256830721645,92.22505487367822,93.69869774185604,93.44373509614954,91.73660624105446,88.81325811643218,84.88816766850859,80.13720000127603,74.71236836270849,68.73953244251285,62.326115094265745,55.55531113965026,48.506167159157776,41.23013228363375,0.361019963
4,553882.7911,5645517.394,10.693922081898213,20.059689070792896,34.137149688373945,48.9657080893093,62.35913556981056,73.3775864286454,81.76934642858754,87.62669996289469,91.19463697587675,92.76745354984357,92.63503160148426,91.06523753406846,88.29333290894319,84.52617993592321,79.93899350217883,74.68107227801181,68.8754368379644,62.62600480741956,56.02336561508164,49.140364783030286,42.03853542413531,0.498570716
5,553882.8919,5645517.258,10.736239394331971,20.00543804024672,33.92511977684036,48.57708728987376,61.80534827612914,72.68618107543023,80.97589440755269,86.7707017885697,90.31186599790969,91.89134821368177,91.79555954654103,90.28641734964742,87.59766581838919,83.9328936756026,79.4639890590293,74.33590593442885,68.67214732311874,62.57472993596342,56.13106576468186,49.41157725661698,42.47680273499166,0.667853438
6,553882.931,5645517.204,10.971896522417087,20.093658177049768,33.784671831246925,48.18775056961031,61.187661461622724,71.88242619450372,80.03977192932336,85.7556756354917,89.26544060173771,90.8575730572576,90.81795408807457,89.40524686451747,86.8470910649007,83.33909224890428,79.04996785765263,74.12130885520294,68.67436174878246,62.80625352389083,56.59825967109391,50.120436348032875,43.43732773465431,0.734522847
7,553882.989,5645517.124,10.745817264749563,19.919318395096045,33.66927757670911,48.124416622283384,61.16308599832373,71.88611626717963,80.06580753189377,85.80199478620005,89.33544013080335,90.95018810225685,90.92974080621292,89.5362691524162,86.99921342194419,83.51516848364692,79.25205457073194,74.35084368052864,68.93070475512599,63.09154469966361,56.91618771473062,50.47352708846766,43.82149839110773,0.833335802
8,553883.0794,5645516.998,10.475424764972232,19.658114511193354,33.41005539489048,47.85598253607558,60.881908955943196,71.59126059857536,79.76114681379705,85.49417300359744,89.0358949938136,90.67121416513422,90.68337189639576,89.335322168962,86.85296193072834,83.43419076276417,79.24280351733191,74.42266165999406,69.09056069977714,63.34492133881027,57.266244313567256,50.925088362713254,44.37533612121062,0.988410494
9,553883.1555,5645516.891,9.968216198329173,19.249788331416028,33.155263354331815,47.76758310441188,60.95265384527833,71.80049446917138,80.07898210436677,85.8964478221328,89.49863858127189,91.17253710544232,91.20876532168916,89.86891060832266,87.38406979645377,83.94872823262173,79.7320890958587,74.8773866400178,69.50392562010589,63.71011417428461,57.58360287578786,51.1935930309243,44.592859400126436,1.119712474
